artist,title,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,uri,duration_ms,time_signature,uri_count,rank_mean,lowest_rank,highest_rank,rank_median,streams_mean,streams_max,streams_min,streams_median,streams_sum,first_date,last_date
The Weeknd,Sidewalks,0.542,0.72,1.0,-5.136,0.0,0.0628,0.147,0.0,0.348,0.623,149.828,spotify:track:4h90qkbnW1Qq6pBhoPvwko,231360.0,4.0,71.0,108.08450704225352,197.0,43.0,93.0,251883.5633802817,373087.0,152570.0,262695.0,17883733.0,2017-01-01,2017-03-13
The Jackson 5,I Want You Back,0.469,0.538,8.0,-13.559,1.0,0.0571,0.305,0.00012,0.37,0.886,196.605,spotify:track:5LxvwujISqiB8vpRYv887S,176333.0,4.0,5.0,111.4,165.0,59.0,92.0,261526.8,372515.0,177859.0,264426.0,1307634.0,2017-01-01,2018-07-04
DNCE,Cake By The Ocean,0.774,0.753,4.0,-5.445,0.0,0.0517,0.153,0.0,0.0371,0.896,119.002,spotify:track:76hfruVvmfQbw0eYn1nmeC,219147.0,4.0,3.0,135.33333333333334,187.0,60.0,159.0,190965.33333333334,282236.0,140451.0,150209.0,572896.0,2017-01-01,2017-02-05
Future,Low Life (feat. The Weeknd),0.722,0.331,8.0,-7.789,1.0,0.0725,0.337,0.283,0.146,0.102,143.974,spotify:track:7EiZI6JVHllARrX9PUvAdX,313547.0,4.0,277.0,122.5667870036101,200.0,61.0,116.0,232290.14079422381,349433.0,152756.0,236628.0,64344369.0,2017-01-01,2018-01-21
Travis Scott,goosebumps,0.841,0.728,7.0,-3.37,1.0,0.0484,0.0847,0.0,0.149,0.43,130.049,spotify:track:6gBFPUFcJLzWGx4lenP6h2,243837.0,4.0,1177.0,97.1767204757859,200.0,16.0,108.0,368228.2209005947,783729.0,199727.0,300677.0,433404616.0,2017-01-01,2020-04-12
Childish Gambino,Redbone,0.743,0.347,1.0,-11.174,1.0,0.121,0.167,0.00951,0.103,0.572,160.143,spotify:track:0wXuerDYiBnERgIpbb3JBR,326933.0,4.0,572.0,75.37412587412588,200.0,8.0,63.0,410200.75524475524,952412.0,178042.0,360672.5,234634832.0,2017-01-01,2020-04-12
Steve Aoki,Just Hold On,0.647,0.932,11.0,-3.517,1.0,0.083,0.00377,1.69e-06,0.0574,0.387,115.0,spotify:track:508oFmt92FyICj6pZiWQwC,198774.0,4.0,79.0,59.822784810126585,140.0,31.0,55.0,339846.6582278481,431233.0,212946.0,339229.0,26847886.0,2017-01-01,2017-03-20
Michael Jackson,Billie Jean,0.92,0.654,11.0,-3.051,0.0,0.0401,0.0236,0.0158,0.0359,0.847,117.046,spotify:track:5ChkMS8OtdzJeqyybCc9R5,293827.0,4.0,4.0,84.5,117.0,65.0,78.0,285617.25,319582.0,240565.0,291161.0,1142469.0,2017-01-01,2019-01-01
Clean Bandit,Rockabye (feat. Sean Paul & Anne-Marie),0.72,0.763,9.0,-4.068,0.0,0.0523,0.406,0.0,0.18,0.742,101.965,spotify:track:5knuzwU65gJK7IF5yJsuaW,251088.0,4.0,183.0,88.8360655737705,198.0,26.0,84.0,299534.3333333333,493031.0,151499.0,295815.0,54814783.0,2017-01-01,2018-07-04
J. Cole,Immortal,0.744,0.43,3.0,-10.604,0.0,0.309,0.455,2.73e-06,0.126,0.266,92.039,spotify:track:6AGON2BGdPmPMJGiiNuuwl,201667.0,4.0,63.0,132.26984126984127,197.0,48.0,139.0,211945.96825396825,329574.0,150896.0,198973.0,13352596.0,2017-01-01,2017-08-19
Twenty One Pilots,Ride,0.645,0.713,6.0,-5.355,1.0,0.0393,0.00835,0.0,0.113,0.566,74.989,spotify:track:2Z8WuEywRWYTKe1NybPQEW,214507.0,4.0,182.0,148.45054945054946,200.0,50.0,159.5,202171.82417582418,539981.0,139665.0,199366.5,36795272.0,2017-01-01,2018-07-05
Marvin Gaye,Ain't No Mountain High Enough,0.663,0.6,7.0,-10.87,1.0,0.032,0.43,0.0,0.184,0.8,129.991,spotify:track:7tqhbajSfrz2F7E1Z75ASX,151667.0,4.0,8.0,110.875,172.0,59.0,100.0,283622.25,513783.0,211365.0,247540.0,2268978.0,2017-01-01,2019-07-04
Lil Uzi Vert,Money Longer,0.795,0.568,5.0,-7.817,0.0,0.142,0.0541,0.0,0.108,0.478,136.173,spotify:track:0B8QzDH7YWih85V5SEMnyJ,198944.0,4.0,393.0,126.38422391857506,200.0,61.0,121.0,230251.68702290076,309609.0,173137.0,229344.0,90488913.0,2017-01-01,2020-03-07
Lil Wayne,"Sucker For Pain (with Wiz Khalifa, Imagine Dragons, Logic & Ty Dolla $ign feat. X Ambassadors)",0.502,0.786,9.0,-4.378,0.0,0.317,0.255,0.0,0.65,0.739,169.021,spotify:track:4dASQiO1Eoo3RJvt74FtXB,243491.0,4.0,154.0,144.45454545454547,200.0,59.0,149.0,207126.13636363635,274065.0,151033.0,204570.0,31897425.0,2017-01-01,2018-09-28
J. Cole,No Role Modelz,0.696,0.521,10.0,-8.465,0.0,0.332,0.302,0.0,0.0565,0.458,100.0,spotify:track:62vpWI1CHwFy7tMIcSStl8,292987.0,4.0,875.0,144.99542857142856,200.0,64.0,139.0,235776.49485714285,395456.0,180893.0,232090.0,206304433.0,2017-01-01,2020-04-09
Future,Used to This (feat. Drake),0.618,0.727,3.0,-7.224,0.0,0.208,0.0312,0.0,0.196,0.401,164.992,spotify:track:3V8sM5OOG6YfDuDLa2IIYJ,180520.0,4.0,78.0,93.43589743589743,189.0,54.0,73.5,258769.9871794872,324324.0,159407.0,268701.5,20184059.0,2017-01-01,2017-03-19
Shakira,Chantaje (feat. Maluma),0.852,0.773,8.0,-2.921,0.0,0.0776,0.187,3.05e-05,0.159,0.907,102.034,spotify:track:6mICuAdrwEjh6Y6lroV2Kg,195840.0,4.0,113.0,129.1769911504425,199.0,51.0,152.0,229145.85840707965,337603.0,159880.0,198042.0,25893482.0,2017-01-01,2020-02-03
Foster The People,Pumped Up Kicks,0.733,0.71,5.0,-5.849,0.0,0.0292,0.145,0.115,0.0956,0.965,127.975,spotify:track:7w87IxuO7BDcJ3YUqCyMTT,239600.0,4.0,6.0,136.0,178.0,75.0,147.5,224703.0,265140.0,170295.0,228468.5,1348218.0,2017-01-01,2020-01-01
G-Eazy,Some Kind Of Drug (feat. Marc E. Bassy),0.586,0.525,0.0,-8.968,1.0,0.498,0.0705,0.0,0.0729,0.491,126.51,spotify:track:1Bqxj0aH5KewYHKUg1IdrF,222467.0,4.0,94.0,85.86170212765957,199.0,38.0,51.0,312305.08510638296,431750.0,159682.0,354584.5,29356678.0,2017-01-01,2017-04-06
DJ ESCO,Too Much Sauce (feat. Future & Lil Uzi Vert),0.96,0.547,6.0,-6.992,0.0,0.0786,0.0496,0.0,0.216,0.186,121.01,spotify:track:5oyUurs28XRagLa8lgm6V3,223093.0,4.0,50.0,117.76,184.0,77.0,110.0,216315.94,243883.0,156993.0,217476.5,10815797.0,2017-01-01,2017-02-19
Sage The Gemini,Now and Later,0.781,0.57,11.0,-5.874,0.0,0.188,0.273,0.0,0.196,0.858,107.059,spotify:track:08WPvDEsHvTFuB9w8tC2OS,193181.0,4.0,64.0,75.328125,198.0,46.0,75.5,284299.109375,355786.0,146476.0,287003.5,18195143.0,2017-01-01,2017-03-05
Mike Posner,I Took A Pill In Ibiza - Seeb Remix,0.663,0.713,7.0,-6.647,0.0,0.112,0.0353,7.68e-06,0.0843,0.69,101.965,spotify:track:1MtUq6Wp1eQ8PC6BbPCj8P,197933.0,4.0,89.0,164.56179775280899,200.0,79.0,170.0,176475.79775280898,233185.0,151873.0,175443.0,15706346.0,2017-01-01,2017-04-06
Pharrell Williams,"Happy - From ""Despicable Me 2""",0.647,0.822,5.0,-4.662,0.0,0.183,0.219,0.0,0.0908,0.962,160.019,spotify:track:60nZcImufyMA1MKQY3dcCH,232720.0,4.0,1.0,80.0,80.0,80.0,80.0,233169.0,233169.0,233169.0,233169.0,233169.0,2017-01-01,2017-01-01
The Weeknd,Reminder,0.706,0.505,8.0,-6.923,1.0,0.193,0.142,0.0,0.164,0.388,160.053,spotify:track:37F0uwRSrdzkBiuj0D5UHI,218880.0,4.0,206.0,145.61165048543688,200.0,64.0,151.0,199823.3786407767,294006.0,150242.0,190744.5,41163616.0,2017-01-01,2017-09-07
Jon Bellion,All Time Low,0.617,0.567,0.0,-4.188,1.0,0.0828,0.0584,0.0,0.0933,0.505,90.246,spotify:track:0SuLAslEMFZAXf0SwY7syi,217603.0,4.0,152.0,87.01973684210526,200.0,16.0,58.0,348378.6513157895,570205.0,133942.0,354153.0,52953555.0,2017-01-01,2017-05-09
